id,type,voltage_level1_id,connected1,voltage_level2_id,connected2,p1,q1,i1
L1-2-1,LINE,VL1,True,VL2,True,-12.35619430488947,-13.040101471178625,78.69908985065905
L1-3-1,LINE,VL1,True,VL3,True,-38.64380569511059,-17.064009078335314,185.06237285948959
L4-5-1,LINE,VL4,True,VL5,True,-103.2759139507503,-26.78218139271119,447.2619174419041
L3-5-1,LINE,VL3,True,VL5,True,-68.10267387787104,-14.49128372202435,301.02542908997526
L5-6-1,LINE,VL5,True,VL6,True,88.45517257172281,4.109168537703373,369.73497953530864
L6-7-1,LINE,VL6,True,VL7,True,35.52500426108028,-4.768173851543814,151.47338586642553
L8-9-1,LINE,VL8,True,VL9,True,-440.56342562845794,-89.75872801400776,741.3001265169758
L9-10-1,LINE,VL9,True,VL10,True,-445.1816045114418,-24.435415966505435,715.4169522921442
L4-11-1,LINE,VL4,True,VL11,True,64.2012863119458,-0.21133234271536308,269.1384998231293
L5-11-1,LINE,VL5,True,VL11,True,77.20093806623308,2.9708851867357318,322.5842130754779
L11-12-1,LINE,VL11,True,VL12,True,34.29564718622179,-35.133892978833046,208.51902204363864
L2-12-1,LINE,VL2,True,VL12,True,-32.45382055944659,-20.005329448202907,164.19786931890314
L3-12-1,LINE,VL3,True,VL12,True,-9.791193813426695,-12.394621630922442,68.28940271444587
L7-12-1,LINE,VL7,True,VL12,True,16.464953341811825,-6.5016108816301506,74.85929498506684
L11-13-1,LINE,VL11,True,VL13,True,35.03349714943447,11.421677900035172,156.49582070432865
L12-14-1,LINE,VL12,True,VL14,True,18.251796875435783,2.6403348125017363,77.93419628137471
L13-15-1,LINE,VL13,True,VL15,True,0.7172139865258054,-3.8277212464138204,16.826048804104268
L14-15-1,LINE,VL14,True,VL15,True,4.175986207298725,3.1594187804278575,22.273344225810003
L12-16-1,LINE,VL12,True,VL16,True,7.473993508670869,4.295119311131854,36.42878743098376
L15-17-1,LINE,VL15,True,VL17,True,-103.68052168875049,-24.430898716894692,459.430562056197
L16-17-1,LINE,VL16,True,VL17,True,-17.544266277500256,-3.6921600027766446,76.23419520237013
L17-18-1,LINE,VL17,True,VL18,True,80.2366280202717,24.858841542921024,353.1462670943469
L18-19-1,LINE,VL18,True,VL19,True,19.356225239153336,14.031099349129184,102.79427769261922
L19-20-1,LINE,VL19,True,VL20,True,-10.651476197825518,5.423961159127808,51.90603821927119
L15-19-1,LINE,VL15,True,VL19,True,11.376091306915118,12.258914782930779,72.13267287287428
L20-21-1,LINE,VL20,True,VL21,True,-28.694858302865168,4.97317716448372,127.1742472668077
L21-22-1,LINE,VL21,True,VL22,True,-42.86611428329923,-1.837562401569828,187.25177599413516
L22-23-1,LINE,VL22,True,VL23,True,-53.28413564451482,-6.4908831866884675,231.60258063088
L23-24-1,LINE,VL23,True,VL24,True,8.116310351664637,10.841921326849333,56.68078176719844
L23-25-1,LINE,VL23,True,VL25,True,-162.51192788813472,-25.953791440475882,688.7547688534355
L25-27-1,LINE,VL25,True,VL27,True,143.5137713296333,30.056196930088163,584.2328198555132
L27-28-1,LINE,VL27,True,VL28,True,32.86024352740991,-0.5891426741084785,142.04485085507164
L28-29-1,LINE,VL28,True,VL29,True,15.639759203720413,-6.564011344032068,73.79744386021545
L8-30-1,LINE,VL8,True,VL30,True,74.01483464823231,27.780231310528375,130.34430331551636
L26-30-1,LINE,VL26,True,VL30,True,223.62913443659687,-11.686772735474635,369.2111887230714
L17-31-1,LINE,VL17,True,VL31,True,14.816526631523269,11.536266504514144,78.94586860805337
L29-31-1,LINE,VL29,True,VL31,True,-8.430589850701011,-8.639569028865738,52.43142376191243
L23-32-1,LINE,VL23,True,VL32,True,93.07106324506262,4.701789845115587,390.0125329779911
L31-32-1,LINE,VL31,True,VL32,True,-29.897360615764423,11.828056306738299,139.1049684753458
L27-32-1,LINE,VL27,True,VL32,True,12.465558564761631,1.0327621967409968,54.06075150477248
L15-33-1,LINE,VL15,True,VL33,True,7.166667251662713,-4.862690055856678,37.35416950990581
L19-34-1,LINE,VL19,True,VL34,True,-3.7227746047968644,-10.547248507170256,48.57100365180236
L35-36-1,LINE,VL35,True,VL36,True,0.671975927642463,6.240760154168283,26.777777573579126
L35-37-1,LINE,VL35,True,VL37,True,-33.67197591843549,-15.240760153414456,157.6784786927608
L33-37-1,LINE,VL33,True,VL37,True,-15.858635605778225,-10.935456734327003,82.95172731909554
L34-36-1,LINE,VL34,True,VL36,True,30.42432815490702,11.484942462606101,138.0050177809462
L34-37-1,LINE,VL34,True,VL37,True,-94.58884248274438,-38.55173319834807,433.46722730104494
L37-39-1,LINE,VL37,True,VL39,True,54.9578612747314,3.7463680473507357,232.32452041930284
L37-40-1,LINE,VL37,True,VL40,True,44.09339202984088,-2.930098864070428,186.37549153241946
L30-38-1,LINE,VL30,True,VL38,True,62.17472415720932,18.132034331645386,109.97504183218166
L39-40-1,LINE,VL39,True,VL40,True,26.9641768380393,-7.9351355934383045,121.17399273215914
L40-41-1,LINE,VL40,True,VL41,True,15.471110577353015,1.1852832432194518,66.92384159378261
L40-42-1,LINE,VL40,True,VL42,True,-11.81246123392073,-6.454657583276646,58.05824017220247
L41-42-1,LINE,VL41,True,VL42,True,-21.566253385857586,-7.794176515475729,99.22952409998813
L43-44-1,LINE,VL43,True,VL44,True,-16.62404866212707,-1.0146850329114312,71.21262054872165
L34-43-1,LINE,VL34,True,VL43,True,1.383540613843763,1.939550088920147,10.110401891182539
L44-45-1,LINE,VL44,True,VL45,True,-32.80181927600043,5.818295763146864,141.49850338749727
L45-46-1,LINE,VL45,True,VL46,True,-36.337685020839835,-3.3767823065511404,154.74805199662626
L46-47-1,LINE,VL46,True,VL47,True,-31.179309237317877,-1.1859718958219003,129.88968414426634
